date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,dailyTotal_7,dailyTotal_8,227300_Compiled_0.csv
2018-02-28,5.5600000000000005,0.76,1.44,1.48,2.48,,4.29,2.26,2.09,20.36
2018-03-01,8.06,,1.63,2.15,3.61,1.15,4.6,8.08,,29.279999999999998
2018-03-02,7.77,0.41,1.31,2.41,1.85,17.07,8.709999999999999,11.39,,50.92
2018-03-03,8.83,,1.55,2.96,2.3,0.93,9.19,10.34,1.58,37.68
2018-03-04,8.32,,2.07,2.28,3.51,2.36,2.8200000000000003,5.69,,27.05
2018-03-05,5.64,,0.8500000000000001,1.51,2.12,0.54,5.64,2.84,,19.14
2018-03-06,5.93,0.53,0.96,1.4500000000000002,3.13,0.8,3.72,5.53,1.93,23.98
2018-03-07,4.58,,1.0499999999999998,1.48,1.58,0.88,3.27,6.53,,19.37
2018-03-08,5.15,,1.5699999999999998,1.67,2.54,0.55,4.48,4.58,,20.54
2018-03-09,4.76,0.25,1.42,1.48,2.13,0.72,2.03,2.81,1.48,17.08
2018-03-10,8.52,,1.58,1.97,2.76,1.08,8.48,7.290000000000001,6.07,37.75
2018-03-11,6.159999999999998,,2.3600000000000003,2.03,3.1100000000000003,1.07,4.73,2.24,1.6,23.300000000000004
2018-03-12,4.59,,1.4300000000000002,1.89,2.81,,5.68,8.09,,24.49
2018-03-13,5.56,0.75,1.4700000000000002,1.5099999999999998,2.3,,5.05,9.52,9.47,35.63
2018-03-14,4.05,,0.75,0.98,1.56,0.58,2.87,4.56,2.08,17.43
2018-03-15,5.829999999999999,,0.57,1.42,2.28,,4.739999999999998,0.44,,15.279999999999998
2018-03-16,7.86,,1.13,1.82,2.56,0.91,7.510000000000002,3.27,,25.060000000000002
2018-03-17,10.489999999999998,1.22,3.46,2.22,2.92,,9.85,9.43,6.18,45.77
2018-03-18,10.06,,2.12,2.1,3.27,0.99,2.94,13.63,,35.11
2018-03-19,5.21,1.0,1.73,,1.81,0.84,7.96,6.79,,25.339999999999996
2018-03-20,6.64,,1.16,1.42,1.04,0.44,6.62,6.050000000000002,,23.37
2018-03-21,5.69,,0.95,1.56,1.6,33.01,3.98,9.36,1.83,57.980000000000004
2018-03-22,3.94,,1.08,1.11,1.14,0.29,4.6400000000000015,7.17,,19.370000000000005
2018-03-23,5.47,,1.6,1.38,1.39,0.51,1.96,4.75,3.68,20.74
2018-03-24,6.63,,1.86,1.63,2.04,0.9,6.26,10.24,1.94,31.500000000000004
2018-03-25,6.99,1.4,2.18,2.16,2.59,,5.17,9.989999999999998,5.11,35.59
2018-03-26,30.6,,2.07,2.22,3.51,9.92,23.53,27.25,4.44,103.54
2018-03-27,35.87000000000001,3.31,7.15,2.27,3.1,188.91,22.83,36.540000000000006,58.36,358.34000000000003
2018-03-28,23.0,2.42,5.09,2.63,4.03,61.62,15.36,31.01,57.14,202.3
2018-03-29,27.61,1.8,5.55,3.0,6.16,41.96,25.340000000000003,35.46,53.5,200.38000000000002
2018-03-30,26.57,,4.6099999999999985,3.03,3.96,42.46999999999999,23.88,32.010000000000005,62.85,199.38
2018-03-31,28.309999999999995,,5.4,3.64,5.7,23.85,25.53,34.46,51.58,178.47
2018-04-01,27.21,2.82,6.67,2.9800000000000004,5.85,23.87,20.97,24.82,40.38,155.57
2018-04-02,22.02,2.35,5.52,2.59,4.04,20.33,19.65,22.05,66.29,164.84
2018-04-03,19.83,,3.1100000000000003,2.04,2.93,14.49,17.06,22.85,40.84,123.15
2018-04-04,15.62,,3.24,2.46,3.3200000000000003,10.01,10.7,10.54,46.11,102.0
2018-04-05,10.06,,2.96,1.51,1.81,11.14,9.47,13.489999999999998,27.67,78.11000000000001
2018-04-06,14.65,1.07,2.54,1.32,2.5700000000000003,9.22,10.89,13.87,22.19,78.32
2018-04-07,21.21,,4.3,2.87,4.119999999999999,19.610000000000007,16.62,28.65,45.99,143.37
2018-04-08,20.35,,2.96,2.27,4.08,10.96,10.41,14.27,40.58,105.88
2018-04-09,13.49,,3.6,1.59,3.14,10.9,9.82,14.22,44.8,101.56
2018-04-10,12.16,,2.68,1.44,2.0,7.71,10.57,14.16,37.2,87.92
2018-04-11,10.63,,2.93,1.09,2.53,7.399999999999999,7.979999999999999,13.239999999999998,29.130000000000006,74.93
2018-04-12,12.59,1.05,1.9,1.31,2.64,7.56,6.9,12.46,26.59,73.0
2018-04-13,15.71,,2.48,1.62,2.49,8.57,8.31,7.74,41.3,88.22
2018-04-14,13.61,,2.4,1.94,3.59,7.6800000000000015,7.53,13.44,24.58,74.77
2018-04-15,19.17,,2.69,2.26,4.6099999999999985,10.53,9.96,12.81,25.41,87.44
2018-04-16,10.239999999999998,,1.62,2.11,2.48,6.08,7.31,10.72,21.23,61.790000000000006
2018-04-17,10.47,,2.06,1.36,3.01,4.7200000000000015,5.09,6.58,9.79,43.080000000000005
2018-04-18,15.56,,1.42,1.27,1.89,5.35,5.99,10.67,13.669999999999998,55.81999999999999
2018-04-19,8.34,,0.92,0.99,1.65,3.3200000000000003,5.63,6.809999999999999,19.39,47.05
2018-04-20,11.39,,,1.54,1.91,4.94,8.19,7.370000000000001,5.69,41.03
2018-04-21,17.72,,2.51,1.69,3.86,7.28,10.53,14.29,26.64,84.52
2018-04-22,17.369999999999994,,3.17,1.79,3.6,6.5600000000000005,11.64,15.36,36.06,95.55
2018-04-23,14.170000000000002,,1.77,1.76,2.39,6.62,7.19,13.24,45.91,93.05
2018-04-24,9.17,,1.7400000000000002,1.31,2.25,4.75,5.34,9.55,20.68,54.79
2018-04-25,10.99,,1.5,1.43,2.5,6.89,4.66,8.05,15.46,51.480000000000004
2018-04-26,9.53,0.56,1.86,1.14,1.83,4.1,5.33,7.7200000000000015,12.489999999999998,44.56
2018-04-27,12.57,,1.2999999999999998,1.29,2.09,5.18,7.38,9.21,18.35,57.37
2018-04-28,13.82,0.65,2.46,1.22,2.63,6.74,8.49,9.51,18.4,63.919999999999995
2018-04-29,20.23,,2.72,1.84,3.06,8.8,7.81,11.16,31.21,86.83
2018-04-30,15.29,0.85,1.84,1.17,2.15,7.08,7.23,10.17,30.86,76.64
2018-05-01,11.489999999999998,0.17,1.7599999999999998,0.8700000000000001,1.95,3.6,5.76,7.2799999999999985,11.06,43.94
2018-05-02,6.74,1.27,1.3199999999999998,1.07,1.58,4.02,6.919999999999999,6.5200000000000005,16.12,45.56
2018-05-03,9.9,,1.46,1.18,1.45,2.73,4.13,5.63,8.82,35.3
2018-05-04,12.480000000000002,,2.19,1.17,1.94,6.510000000000002,9.05,9.53,7.32,50.190000000000005
2018-05-05,15.22,,1.08,1.1,2.26,4.33,8.379999999999999,6.87,18.89,58.13
2018-05-06,9.1,,0.98,1.71,1.8,4.33,7.61,6.8599999999999985,9.81,42.2
2018-05-07,9.47,0.64,1.34,0.91,1.94,2.68,5.079999999999999,5.35,15.29,42.7
2018-05-08,10.34,,1.78,1.1,2.09,3.29,2.55,3.94,15.55,40.64
2018-05-09,6.36,0.08,0.48,0.99,1.17,2.18,3.16,4.37,5.94,24.73
2018-05-10,9.79,,0.64,0.86,1.9,2.83,3.53,5.07,5.32,29.939999999999998
2018-05-11,8.81,,2.26,0.73,2.11,2.6,4.5299999999999985,5.99,,27.03
2018-05-12,9.62,0.47,1.2,1.24,1.23,3.390000000000001,3.33,5.12,7.53,33.13
2018-05-13,9.61,,1.7399999999999998,1.13,1.86,3.74,5.45,6.78,1.53,31.840000000000003
2018-05-14,6.2700000000000005,,1.21,1.45,1.58,2.65,1.31,3.1500000000000004,12.75,30.37
2018-05-15,11.69,,2.51,2.41,2.98,4.949999999999998,6.16,7.6400000000000015,13.86,52.199999999999996
2018-05-16,11.37,,1.6,1.67,2.26,2.89,5.98,4.43,3.43,33.63
2018-05-17,46.68000000000001,,2.52,1.69,38.18000000000001,6.080000000000001,11.45,9.53,22.48,138.61
2018-05-18,58.48,1.26,5.26,3.36,50.43,9.56,14.31,15.49,17.3,175.45000000000002
2018-05-19,46.76000000000001,,3.5700000000000003,4.13,39.71,9.97,15.68,19.96,20.55,160.33
2018-05-20,47.66,1.76,3.7,5.24,27.76,11.010000000000002,16.64,20.04,26.82,160.63
2018-05-21,37.52,2.1,3.97,3.46,21.180000000000003,9.82,9.36,21.46,29.47,138.34
2018-05-22,33.65,,1.94,2.74,13.45,8.3,7.81,9.97,12.64,90.5
2018-05-23,30.79,,2.38,2.29,12.829999999999998,5.47,6.09,7.65,6.17,73.67
2018-05-24,25.9,1.09,5.6,1.87,10.02,8.08,8.379999999999999,11.7,31.700000000000006,104.34
2018-05-25,27.36,0.39,2.37,2.0,11.759999999999998,5.01,5.2200000000000015,7.08,4.27,65.46
2018-05-26,30.85,1.81,3.33,2.22,10.85,8.67,7.24,10.89,13.19,89.05000000000001
2018-05-27,35.55000000000001,0.68,2.46,2.34,10.97,8.129999999999999,12.32,11.98,19.3,103.73
2018-05-28,27.06,,2.5,2.09,9.67,6.83,8.71,9.77,39.32,105.94999999999999
2018-05-29,24.11,,2.64,1.93,9.06,5.7,6.68,10.21,15.57,75.9
2018-05-30,17.78,,1.41,2.18,7.0299999999999985,5.16,5.160000000000001,5.1400000000000015,9.72,53.58
2018-05-31,18.94,,1.29,1.62,6.62,4.11,4.66,5.550000000000002,14.16,56.95
2018-06-01,22.58,0.96,1.71,2.11,8.97,4.94,7.02,6.9700000000000015,10.79,66.05000000000001
2018-06-02,23.85,,1.62,1.89,9.96,4.54,5.7799999999999985,6.2,13.54,67.38
2018-06-03,20.99,0.52,1.76,1.6800000000000002,8.31,3.9,6.340000000000002,11.2,14.0,68.7
2018-06-04,23.1,,3.06,1.94,8.9,6.130000000000001,7.12,10.31,17.54,78.1
2018-06-05,24.54,,1.21,1.68,8.51,6.249999999999999,6.58,6.48,10.79,66.03999999999999
2018-06-06,20.03,,1.88,1.63,6.3599999999999985,3.39,4.750000000000001,3.43,1.76,43.23
2018-06-07,15.83,,2.02,1.97,7.4,5.02,4.44,7.05,12.44,56.17
2018-06-08,17.740000000000006,0.4,2.44,1.66,7.68,5.04,7.54,8.71,8.489999999999998,59.7
2018-06-09,16.580000000000002,,1.64,1.24,6.94,4.24,5.48,6.49,14.82,57.43
2018-06-10,15.55,0.84,2.02,1.74,6.25,3.27,6.89,6.9,6.29,49.74999999999999
