date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,253230_Compiled_0.csv
2020-02-28,0.33,0.30000000000000004,0.26,1.11,,2.0
2020-02-29,0.15,0.18,0.14,1.32,,1.79
2020-03-01,0.65,0.45,0.21,0.2,,1.51
2020-03-02,0.63,0.5900000000000001,0.71,0.13,,2.06
2020-03-03,0.36,0.7300000000000001,0.81,3.1,,5.0
2020-03-04,0.47,0.42,0.35,,,1.2399999999999998
2020-03-05,0.18,0.21,0.29000000000000004,3.65,,4.33
2020-03-06,0.29000000000000004,0.27,,0.37,,0.93
2020-03-07,0.27,0.47,0.4300000000000001,1.84,,3.0100000000000002
2020-03-08,0.26,0.25,0.29000000000000004,3.2,,4.0
2020-03-09,0.22000000000000006,0.32,0.34,,,0.8800000000000001
2020-03-10,0.27,0.18,0.28,51.46,,52.19
2020-03-11,0.54,0.6100000000000001,0.52,3.76,,5.43
2020-03-12,0.26,0.35,0.16999999999999998,,,0.78
2020-03-13,0.5800000000000001,0.21,0.49,1.94,,3.2199999999999998
2020-03-14,0.48,0.21,0.69,0.24,,1.6199999999999999
2020-03-15,0.39,0.30000000000000004,0.31,0.04,,1.04
2020-03-16,0.6200000000000001,0.26,0.17,0.36,,1.4100000000000001
2020-03-17,0.35000000000000003,0.5800000000000001,0.8200000000000001,1.45,,3.2
2020-03-18,0.31999999999999995,0.21,0.16,0.14,,0.83
2020-03-19,0.53,0.25,0.51,0.26,,1.55
2020-03-20,0.22,0.21,0.3200000000000001,0.15,,0.9000000000000001
2020-03-21,0.16,0.13,0.26,0.15,,0.7000000000000001
2020-03-22,0.59,0.56,0.76,26.05,,27.96
2020-03-23,0.53,0.68,1.0399999999999998,9.63,,11.88
2020-03-24,0.26,0.29000000000000004,0.66,0.23,,1.44
2020-03-25,0.38,0.32,0.4400000000000001,1.76,,2.9000000000000004
2020-03-26,0.06,0.25,0.11,0.44,,0.86
2020-03-27,0.3,0.21,0.42,0.88,,1.81
2020-03-28,0.8500000000000001,0.8500000000000001,0.96,0.37,,3.0300000000000002
2020-03-29,0.33,0.25,0.1,,,0.68
2020-03-30,0.12,0.21,0.28,4.3599999999999985,,4.969999999999999
2020-03-31,0.30000000000000004,0.19,0.34,1.33,,2.16
2020-04-01,0.21,0.23,0.15,,,0.59
2020-04-02,0.24,0.58,0.43,0.27,,1.52
2020-04-03,0.23,0.08,0.11,1.11,,1.53
2020-04-04,0.3,0.53,0.24,0.33,,1.4000000000000001
2020-04-05,0.22,0.18,0.35,5.35,,6.1
2020-04-06,0.31,0.34,0.13,0.4,,1.1800000000000002
2020-04-07,0.27,0.28,0.39,,,0.9400000000000001
2020-04-08,0.19,0.39,0.5900000000000001,0.72,,1.8900000000000001
2020-04-09,0.22,0.15,0.25,3.43,,4.05
2020-04-10,0.12,0.29000000000000004,0.29000000000000004,7.199999999999998,,7.899999999999999
2020-04-11,0.28,0.16,0.2,0.95,,1.59
2020-04-12,0.39,0.36,0.3500000000000001,0.64,,1.7400000000000002
2020-04-13,0.36,0.36,0.36,0.69,,1.77
2020-04-14,0.4,0.37,0.21,1.61,,2.59
2020-04-15,0.29,0.29000000000000004,0.4300000000000001,0.6200000000000001,,1.6300000000000003
2020-04-16,0.3,0.27,0.32,1.04,,1.9300000000000002
2020-04-17,0.28,0.21,0.34,0.13,,0.9600000000000001
2020-04-18,0.25,0.27,0.19,0.22,,0.9299999999999999
2020-04-19,0.6000000000000001,0.15,0.23,0.06,,1.04
2020-04-20,0.32,0.4900000000000001,0.41,8.040000000000001,,9.260000000000002
2020-04-21,0.43,0.29,0.30000000000000004,0.73,,1.75
2020-04-22,0.4,0.21,0.33,6.42,,7.359999999999999
2020-04-23,0.74,0.46,0.24,6.9300000000000015,,8.370000000000001
2020-04-24,0.31999999999999995,0.12,0.19,,,0.6299999999999999
2020-04-25,0.27,0.42,0.34,6.16,,7.19
2020-04-26,0.30000000000000004,0.16,2.91,0.4,,3.77
2020-04-27,0.75,0.5700000000000001,0.63,24.2,,26.15
2020-04-28,0.12,0.26,0.24,1.28,,1.9
2020-04-29,0.2,0.49,0.29000000000000004,,,0.98
2020-04-30,0.33,0.2,0.48,0.07,,1.08
2020-05-01,0.48,0.34,0.31000000000000005,0.25,,1.3800000000000001
2020-05-02,0.37,0.31000000000000005,0.26,0.09,,1.03
2020-05-03,0.16999999999999998,0.21,0.13,,,0.51
2020-05-04,0.19,0.03,,3.02,,3.24
2020-05-05,0.52,0.6799999999999999,1.29,2.5,,4.99
2020-05-06,0.42,0.28,0.12,1.12,,1.94
2020-05-07,0.21,0.34,0.29,0.27,,1.11
2020-05-08,0.6100000000000001,0.39,0.6200000000000001,3.95,,5.57
2020-05-09,1.31,0.78,0.49,2.72,,5.300000000000001
2020-05-10,0.21,0.22,0.1,0.13,,0.66
2020-05-11,0.4,0.47,0.2,2.11,,3.1799999999999997
