date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,264710_Compiled_0.csv
2020-05-21,10304.28,,,,,,,,10304.28
2020-05-22,9550.69,,,,,,,,9550.69
2020-05-23,8283.23,,,,,,,,8283.23
2020-05-24,5894.08,,,,,,,,5894.08
2020-05-25,7608.84,,,,,,,,7608.84
2020-05-26,8552.85,,,25.28,,,,,8578.130000000001
2020-05-27,8593.52,,,,,,,,8593.52
2020-05-28,9393.51,,,,,,,,9393.51
2020-05-29,8189.78,,,,,,,,8189.78
2020-05-30,6241.75,26.27,,,,,,,6268.02
2020-05-31,9688.09,,,,,,,,9688.09
2020-06-01,11289.15,,,,,,,,11289.15
2020-06-02,9982.04,,,,,,,,9982.04
2020-06-03,12459.28,,,,,,,,12459.28
2020-06-04,12077.05,,,,,,,,12077.05
2020-06-05,25844.84,,,,,,,,25844.84
2020-06-06,23806.32,,,,,,,,23806.32
2020-06-07,14040.35,,,,,,,,14040.35
2020-06-08,13505.19,,,,,,,,13505.19
2020-06-09,8415.5,,,,,,,,8415.5
2020-06-10,10414.24,,,,,,,,10414.24
2020-06-11,10424.7,,,37.01,,,,,10461.710000000001
2020-06-12,11104.87,28.11,,,,,,,11132.980000000001
2020-06-13,14017.35,,,,,,,,14017.35
2020-06-14,16985.74,,,,,,,,16985.74
2020-06-15,17976.82,,,,,,,,17976.82
2020-06-16,16058.06,,,,,,,,16058.06
2020-06-17,9526.39,,,,,,,,9526.39
2020-06-18,11945.13,,,,,,,,11945.13
2020-06-19,18369.72,,,,,,,,18369.72
2020-06-20,22595.38,,,,,,,,22595.38
2020-06-21,23775.36,29.01,,,,,,,23804.37
2020-06-22,43330.52,,31.56,,,,123.5,,43485.579999999994
2020-06-23,13915.37,,,,,,,,13915.37
2020-06-24,11113.87,,,,,,,,11113.87
2020-06-25,25636.12,,,,,,,,25636.12
2020-06-26,17521.81,,29.68,,,,,,17551.49
2020-06-27,42532.97,,,,,,,,42532.97
2020-06-28,27440.41,,,,,,,,27440.41
2020-06-29,43288.13,,,,,,,,43288.13
2020-06-30,35931.96,,,,,,,,35931.96
2020-07-01,14071.89,,,,,,,,14071.89
2020-07-02,19053.53,,,,,,,,19053.53
2020-07-03,19082.4,,,,,,,,19082.4
2020-07-04,64021.16,,,,,,,,64021.16
2020-07-05,60694.12,,,,,,,,60694.12
2020-07-06,48786.84,,,,,,,,48786.84
2020-07-07,12574.38,33.85,39.73,45.54,44.15,,87.1,124.84,12949.59
2020-07-08,9363.78,,,,,,,,9363.78
2020-07-09,5567.7,,,,52.05,,,,5619.75
2020-07-10,18208.08,,,,61.81,,,133.48,18403.370000000003
2020-07-11,9194.49,,,,,,,,9194.49
2020-07-12,11452.18,,,,,,,,11452.18
2020-07-13,21107.68,,,,,,,,21107.68
2020-07-14,7976.31,,,47.99,45.92,,,,8070.22
2020-07-15,9192.32,,,,,,,,9192.32
2020-07-16,7373.44,,,,,,,,7373.44
2020-07-17,5794.9,,,,70.59,,,,5865.49
2020-07-18,5750.84,,,,,,,,5750.84
2020-07-19,5850.86,,,,,,,,5850.86
2020-07-20,4282.36,,,,,,,,4282.36
2020-07-21,6472.52,,,630.87,,,,,7103.39
2020-07-22,7286.07,,,,45.92,,,,7331.99
2020-07-23,4315.93,,,,,,,,4315.93
2020-07-24,6035.8,,,,,,,,6035.8
2020-07-25,4636.49,,,,,,,,4636.49
2020-07-26,5688.3,,,,,,,,5688.3
2020-07-27,6240.31,,,,,,,,6240.31
2020-07-28,5357.66,,,,,,,,5357.66
2020-07-29,5291.95,,,,,,,,5291.95
2020-07-30,6500.26,,,,,,,,6500.26
2020-07-31,5102.19,,,,217.64,,,,5319.83
2020-08-01,6430.12,,,,,,,,6430.12
2020-08-02,6687.06,,,,,,,,6687.06
2020-08-03,5263.2,,,,,,,,5263.2
2020-08-04,10266.3,,,,,,,,10266.3
2020-08-05,23947.95,,,,,,,,23947.95
2020-08-06,4541.06,,,,,,,,4541.06
2020-08-07,5050.55,,,,,,,,5050.55
2020-08-08,5700.99,,,,,,,,5700.99
2020-08-09,8044.33,14.38,,,,,,,8058.71
2020-08-10,7903.96,,,,,,,,7903.96
2020-08-11,7726.97,,,,,,,,7726.97
2020-08-12,5994.1,,,,,,,,5994.1
2020-08-13,8412.39,,,,,,,,8412.39
2020-08-14,8513.7,,,,,,,,8513.7
2020-08-15,12609.04,,,,,,,,12609.04
2020-08-16,9923.68,,,,,,,,9923.68
2020-08-17,10571.28,,,,,,,,10571.28
2020-08-18,9116.88,,,,,,,,9116.88
2020-08-19,10631.2,,,,,,,,10631.2
2020-08-20,10046.4,,,,,,,,10046.4
2020-08-21,8135.56,,,,,,,,8135.56
2020-08-22,10489.58,,,,,,,,10489.58
2020-08-23,11723.92,,,,,,,,11723.92
2020-08-24,10416.94,,,,,,,,10416.94
2020-08-25,9380.8,,,,,,,,9380.8
2020-08-26,4533.9,,,,16.88,,,,4550.78
2020-08-27,2393.01,,,,,,,,2393.01
2020-08-28,1250.42,,,,,,,,1250.42
2020-08-29,1996.73,32.03,,,,,,,2028.76
2020-08-30,760.19,,,,,,,,760.19
2020-08-31,9262.66,,,,,,,,9262.66
2020-09-01,391.81,,,,,,,,391.81
2020-09-02,615.68,,,,,,,,615.68
2020-09-03,2464.13,,,,,,,,2464.13
2020-09-04,3164.9,,,,,,,,3164.9
2020-09-05,4541.49,,,,,,,,4541.49
2020-09-06,7418.34,,,,,,,,7418.34
2020-09-07,1876.85,,,,,,,,1876.85
2020-09-08,9665.92,,,,,,,,9665.92
2020-09-09,5353.67,,,,,,,,5353.67
2020-09-10,6888.34,,,,23.96,,,,6912.3
